Player(Cord:( 1, 7), Health:(1),  Coins(0)) :time(13:13:33)
Player(Cord:( 1, 8), Health:(1),  Coins(0)) :time(13:13:35)
Player(Cord:( 2, 8), Health:(1),  Coins(0)) :time(13:13:35)
Player(Cord:( 2, 9), Health:(1),  Coins(0)) :time(13:13:35)
Player(Cord:( 2, 10), Health:(1),  Coins(0)) :time(13:13:36)
Player(Cord:( 1, 10), Health:(1),  Coins(0)) :time(13:13:36)
Player(Cord:( 2, 10), Health:(1),  Coins(0)) :time(13:13:36)
Player(Cord:( 2, 11), Health:(1),  Coins(0)) :time(13:13:36)
Player(Cord:( 2, 10), Health:(1),  Coins(0)) :time(13:13:39)
Player(Cord:( 3, 10), Health:(1),  Coins(0)) :time(13:13:39)
Player(Cord:( 3, 9), Health:(1),  Coins(0)) :time(13:13:39)
Player(Cord:( 4, 9), Health:(1),  Coins(0)) :time(13:13:39)
The coin was collected :time(13:13:39)
Player(Cord:( 4, 8), Health:(1),  Coins(1)) :time(13:13:39)
Player(Cord:( 5, 8), Health:(1),  Coins(1)) :time(13:13:40)
Player(Cord:( 5, 7), Health:(1),  Coins(1)) :time(13:13:40)
Player(Cord:( 6, 7), Health:(1),  Coins(1)) :time(13:13:40)
Player(Cord:( 6, 6), Health:(1),  Coins(1)) :time(13:13:40)
Player(Cord:( 7, 6), Health:(1),  Coins(1)) :time(13:13:40)
Player(Cord:( 7, 5), Health:(1),  Coins(1)) :time(13:13:40)
Player(Cord:( 8, 5), Health:(1),  Coins(1)) :time(13:13:41)
Player(Cord:( 8, 4), Health:(1),  Coins(1)) :time(13:13:41)
Player(Cord:( 9, 4), Health:(1),  Coins(1)) :time(13:13:42)
Player(Cord:( 9, 3), Health:(1),  Coins(1)) :time(13:13:42)
Player(Cord:( 8, 3), Health:(1),  Coins(1)) :time(13:14:3)
Player(Cord:( 8, 4), Health:(1),  Coins(1)) :time(13:14:3)
Player(Cord:( 7, 4), Health:(1),  Coins(1)) :time(13:14:3)
Player(Cord:( 7, 5), Health:(1),  Coins(1)) :time(13:14:3)
Player(Cord:( 6, 5), Health:(1),  Coins(1)) :time(13:14:4)
Player(Cord:( 6, 6), Health:(1),  Coins(1)) :time(13:14:4)
Player(Cord:( 5, 6), Health:(1),  Coins(1)) :time(13:14:4)
Player(Cord:( 5, 7), Health:(1),  Coins(1)) :time(13:14:4)
Player(Cord:( 4, 7), Health:(1),  Coins(1)) :time(13:14:6)
Player(Cord:( 4, 8), Health:(1),  Coins(1)) :time(13:14:6)
Player(Cord:( 3, 8), Health:(1),  Coins(1)) :time(13:14:6)
Player(Cord:( 3, 9), Health:(1),  Coins(1)) :time(13:14:7)
Player(Cord:( 2, 9), Health:(1),  Coins(1)) :time(13:14:7)
Player(Cord:( 2, 10), Health:(1),  Coins(1)) :time(13:14:7)
Player(Cord:( 1, 10), Health:(1),  Coins(1)) :time(13:14:7)
Player(Cord:( 1, 11), Health:(1),  Coins(1)) :time(13:14:7)
Player(Cord:( 1, 10), Health:(1),  Coins(1)) :time(13:14:8)
Player(Cord:( 1, 9), Health:(1),  Coins(1)) :time(13:14:8)
Player(Cord:( 1, 8), Health:(1),  Coins(1)) :time(13:14:9)
Player(Cord:( 1, 7), Health:(1),  Coins(1)) :time(13:14:9)
The coin was collected :time(13:14:10)
Player(Cord:( 1, 6), Health:(1),  Coins(2)) :time(13:14:10)
Player(Cord:( 2, 6), Health:(1),  Coins(2)) :time(13:14:12)
Player(Cord:( 2, 7), Health:(1),  Coins(2)) :time(13:14:13)
Player(Cord:( 3, 7), Health:(1),  Coins(2)) :time(13:14:13)
Player(Cord:( 4, 7), Health:(1),  Coins(2)) :time(13:14:13)
Player(Cord:( 4, 8), Health:(1),  Coins(2)) :time(13:14:14)
Player(Cord:( 5, 8), Health:(1),  Coins(2)) :time(13:14:14)
The mushroom was eaten :time(13:14:15)
Player(Cord:( 6, 8), Health:(2),  Coins(2)) :time(13:14:15)
Player(Cord:( 7, 8), Health:(2),  Coins(2)) :time(13:14:16)
Player(Cord:( 7, 9), Health:(2),  Coins(2)) :time(13:14:16)
Player(Cord:( 8, 9), Health:(2),  Coins(2)) :time(13:14:16)
Player(Cord:( 9, 9), Health:(2),  Coins(2)) :time(13:14:17)
The Chest was open :time(13:14:18)
Player(Cord:( 10, 9), Health:(2),  Coins(5)) :time(13:14:18)
Player(Cord:( 11, 9), Health:(2),  Coins(5)) :time(13:14:24)
Player(Cord:( 12, 9), Health:(2),  Coins(5)) :time(13:14:24)
Player(Cord:( 12, 8), Health:(2),  Coins(5)) :time(13:14:24)
Player(Cord:( 13, 8), Health:(2),  Coins(5)) :time(13:14:25)
Player(Cord:( 13, 7), Health:(2),  Coins(5)) :time(13:14:25)
Player(Cord:( 14, 7), Health:(2),  Coins(5)) :time(13:14:25)
Player win :time(13:14:26)
